order_purchase_timestamp,daily_revenue,num_orders,day_of_week,month,day
2018-07-03,26307.31,216,1,7,3
2018-07-04,35651.65,256,2,7,4
2018-07-05,28809.33,195,3,7,5
2018-07-06,19005.54,121,4,7,6
2018-07-07,9076.56,91,5,7,7
2018-07-08,14410.79,122,6,7,8
2018-07-09,19564.85,148,0,7,9
2018-07-10,18724.57,132,1,7,10
2018-07-11,18519.98,127,2,7,11
2018-07-12,28891.77,121,3,7,12
2018-07-13,27644.23,167,4,7,13
2018-07-14,22257.69,148,5,7,14
2018-07-15,30037.49,152,6,7,15
2018-07-16,31308.29,245,0,7,16
2018-07-17,30421.48,221,1,7,17
2018-07-18,41193.49,305,2,7,18
2018-07-19,38705.58,253,3,7,19
2018-07-20,32031.44,249,4,7,20
2018-07-21,21113.58,187,5,7,21
2018-07-22,27753.42,215,6,7,22
2018-07-23,39911.22,305,0,7,23
2018-07-24,41525.76,270,1,7,24
2018-07-25,40417.5,268,2,7,25
2018-07-26,35292.72,247,3,7,26
2018-07-27,28371.75,189,4,7,27
2018-07-28,25210.12,175,5,7,28
2018-07-29,31434.079999999998,188,6,7,29
2018-07-30,39070.66,284,0,7,30
2018-07-31,45316.28,320,1,7,31
2018-08-01,40553.8,310,2,8,1
2018-08-02,38462.26,299,3,8,2
2018-08-03,42075.18,314,4,8,3
2018-08-04,35511.96,245,5,8,4
2018-08-05,35583.76,276,6,8,5
2018-08-06,56427.39,372,0,8,6
2018-08-07,49178.98,366,1,8,7
2018-08-08,43333.07,315,2,8,8
2018-08-09,40040.28,283,3,8,9
2018-08-10,33424.73,253,4,8,10
2018-08-11,25960.93,186,5,8,11
2018-08-12,31524.21,197,6,8,12
2018-08-13,38613.13,288,0,8,13
2018-08-14,44192.840000000004,315,1,8,14
2018-08-15,45574.04,285,2,8,15
2018-08-16,35670.61,318,3,8,16
2018-08-17,31730.67,255,4,8,17
2018-08-18,24340.95,196,5,8,18
2018-08-19,25487.39,204,6,8,19
2018-08-20,34479.5,252,0,8,20
2018-08-21,26323.06,239,1,8,21
2018-08-22,20297.13,186,2,8,22
2018-08-23,17030.87,142,3,8,23
2018-08-24,9633.61,98,4,8,24
2018-08-25,10599.41,69,5,8,25
2018-08-26,8070.71,73,6,8,26
2018-08-27,5345.91,66,0,8,27
2018-08-28,3673.91,39,1,8,28
2018-08-29,1546.04,11,2,8,29
2018-09-03,145.0,1,0,9,3
